機構名稱,地址,電話,家庭醫學科,內科,外科,整形外科,兒科,婦產科,骨科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,神經科,神經外科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,職業醫學科,西醫一般科,口腔病理科,口腔顏面外科,齒顎矯正科,牙科一般,牙科,中醫一般科,中醫
郵政醫院（委託中英醫療社團法人經營）,臺北市中正區福州街14號,23956755,X,V,V,X,X,X,V,V,X,V,V,X,V,X,V,V,V,X,X,X,X,X,X,X,X,X,X,X,X,X,X
國立台灣大學醫學院附設醫院,臺北市中正區中山南路7、8號；常德街1號,23123456,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,X,X
國立臺灣大學醫學院附設醫院兒童醫院,臺北市中正區中山南路8號,23123456,X,X,V,X,V,X,X,X,X,X,X,V,X,X,V,V,V,X,X,X,X,X,X,X,X,X,X,X,V,X,X
臺北市立聯合醫院,臺北市大同區鄭州路145號,25523234,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,X,V,X,X,V,V,V
泰安醫院,臺北市中山區民權東路二段92巷2之1號,25375633,X,V,X,X,X,X,X,X,X,X,X,X,X,X,V,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
協和婦女醫院,臺北市中山區松江路85巷5號、93巷6號,25072222,X,X,X,X,V,V,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,V,V,X,X
台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市中山區中山北路二段92號,25433535,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,X,V,X,V
台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,臺北市中山區中山北路2段92號,25433535,X,X,V,X,V,X,V,X,V,V,V,V,X,V,V,V,V,X,X,X,X,X,X,X,X,X,X,X,X,X,X
長庚醫療財團法人台北長庚紀念醫院,臺北市松山區敦化北路199號、197號、臺北市松山區敦化北路199巷6號,27135211,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,X,V,V,X,V,V,V,V,X,V,X,V
基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區八德路二段424、426號,27718151,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,X,V,X,X,V,V,X,X,V,X,V,V,X,X
